variable_name,Variable_Label
tBodyAcc-mean()-X,MBAXt
tBodyAcc-mean()-Y,MBAYt
tBodyAcc-mean()-Z,MBAZt
tBodyAcc-std()-X,SBAXt
tBodyAcc-std()-Y,SBAYt
tBodyAcc-std()-Z,SBAZt
tGravityAcc-mean()-X,MGAXt
tGravityAcc-mean()-Y,MGAYt
tGravityAcc-mean()-Z,MGAZt
tGravityAcc-std()-X,SGAXt
tGravityAcc-std()-Y,SGAYt
tGravityAcc-std()-Z,SGAZt
tBodyAccJerk-mean()-X,MBAJXt
tBodyAccJerk-mean()-Y,MBAJYt
tBodyAccJerk-mean()-Z,MBAJZt
tBodyAccJerk-std()-X,SBAJXt
tBodyAccJerk-std()-Y,SBAJYt
tBodyAccJerk-std()-Z,SBAJZt
tBodyGyro-mean()-X,MBGXt
tBodyGyro-mean()-Y,MBGYt
tBodyGyro-mean()-Z,MBGZt
tBodyGyro-std()-X,SBGXt
tBodyGyro-std()-Y,SBGYt
tBodyGyro-std()-Z,SBGZt
tBodyGyroJerk-mean()-X,MBGJXt
tBodyGyroJerk-mean()-Y,MBGJYt
tBodyGyroJerk-mean()-Z,MBGJZt
tBodyGyroJerk-std()-X,SBGJXt
tBodyGyroJerk-std()-Y,SBGJYt
tBodyGyroJerk-std()-Z,SBGJZt
tBodyAccMag-mean(),MBAMt
tBodyAccMag-std(),SBAMt
tGravityAccMag-mean(),MGAMt
tGravityAccMag-std(),SGAMt
tBodyAccJerkMag-mean(),MBAJMt
tBodyAccJerkMag-std(),SBAJMt
tBodyGyroMag-mean(),MBGMt
tBodyGyroMag-std(),SBGMt
tBodyGyroJerkMag-mean(),MBGJMt
tBodyGyroJerkMag-std(),SBGJMt
fBodyAcc-mean()-X,MBAXf
fBodyAcc-mean()-Y,MBAYf
fBodyAcc-mean()-Z,MBAZf
fBodyAcc-std()-X,SBAXf
fBodyAcc-std()-Y,SBAYf
fBodyAcc-std()-Z,SBAZf
fBodyAccJerk-mean()-X,MBAJXf
fBodyAccJerk-mean()-Y,MBAJYf
fBodyAccJerk-mean()-Z,MBAJZf
fBodyAccJerk-std()-X,SBAJXf
fBodyAccJerk-std()-Y,SBAJYf
fBodyAccJerk-std()-Z,SBAJZf
fBodyGyro-mean()-X,MBGXf
fBodyGyro-mean()-Y,MBGYf
fBodyGyro-mean()-Z,MBGZf
fBodyGyro-std()-X,SBGXf
fBodyGyro-std()-Y,SBGYf
fBodyGyro-std()-Z,SBGZf
fBodyAccMag-mean(),MBAMf
fBodyAccMag-std(),SBAMf
fBodyBodyAccJerkMag-mean(),MBBAJMf
fBodyBodyAccJerkMag-std(),SBBAJMf
fBodyBodyGyroMag-mean(),MBBGMf
fBodyBodyGyroMag-std(),SBBGMf
fBodyBodyGyroJerkMag-mean(),MBBGJMf
fBodyBodyGyroJerkMag-std(),SBBGJMf
